title,location,price,bedrooms
,"Eastern Bypass,Kamakis,, Thika Road","KSh 12,600,000",4
,Lavington,"KSh 75,000,000",5
,"spring valley, Spring Valley, Westlands","KSh 70,000,000",4
,"Nairobi, Camphor Road, Runda, Westlands","KSh 100,000,000",5
,Karen,"KSh 90,000,000",6
,"Loresho, Westlands","KSh 118,500,000",5
,Karen,"KSh 75,000,000",4
,South C,"KSh 24,000,000",5
,"Opposite Kist, Kiambu Road","KSh 29,000,000",4
,"mukoma, Karen","KSh 45,000,000",4
,"Fana road, Karen","KSh 67,000,000",5
,"Five Star paradise, Kiambu Road","KSh 31,950,000",4
,"01, lavington, Nairobi, Lavington","KSh 85,000,000",5
,Karen,"KSh 68,000,000",4
,"Kitisuru, Westlands","KSh 110,000,000",5
,"Rhapta Road, Westlands","KSh 40,000,000",5
,"Kuwinda Road, Karen",Price not communicated,5
,"Spring valley road, Spring Valley, Westlands","KSh 123,000,000",3
,"Kerarapon Drive, Karen","KSh 35,000,000",7
,Kiambu Road,"KSh 28,000,000",4
,Langata,"KSh 30,000,000",6
,"54, Ruaka Road, Runda, Westlands","KSh 100,000,000",5
,"Mwanzi Road, Westlands Area, Westlands","KSh 25,000,000",4
,"00104, Muthaiga rd, Muthaiga","KSh 600,000,000",5
,"Karen ololua estate, Karen","KSh 99,000,000",5
,"Ushirka road, Karen","KSh 110,000,000",5
,"Mvuli Avenue, South C","KSh 37,500,000",4
,"off Ushirika road near Hardy police station, Karen Hardy","KSh 120,000,000",5
,Karen,"KSh 80,000,000",4
,Lavington,"KSh 130,000,000",4
,"Runda, Westlands","KSh 200,000,000",5
,"Gardi, Garden Estate, Roysambu","KSh 65,000,000",5
,"Lantana Road, Westlands Area, Westlands","KSh 50,000,000",3
,"Runda mimosa, Runda, Westlands","KSh 200,000,000",7
,"The Banda school, Karen","KSh 93,000,000",4
,Karen,"KSh 65,000,000",4
,Lavington,"KSh 100,000,000",5
,Lavington,"KSh 69,000,000",4
,Lavington,"KSh 65,000,000",5
,"Quickmart Ruai, Ruai","KSh 12,500,000",4
,"NHC Madaraka Estate, Langata","KSh 8,000,000",2
,"01, karen, Nairobi, Karen","KSh 75,000,000",5
,Mombasa Road,"KSh 20,200,000",4
,Lavington,"KSh 95,000,000",5
,Lavington,"KSh 55,000,000",5
,Karen,"KSh 90,000,000",7
,"Old Muthaiga, Muthaiga","KSh 250,000,000",5
,"Westlands Area, Westlands","KSh 35,000,000",4
,Buruburu,"KSh 10,500,000",3
,"lavington, Lavington","KSh 52,000,000",5
,"Westlands area, Westlands Area, Westlands","KSh 42,000,000",5
,Lavington,"KSh 89,000,000",5
,"4, Off Thigiri ridge road, Thigiri, Westlands","KSh 120,000,000",4
,"44, Eliud Mathu, Runda, Westlands","KSh 180,000,000",9
,"Loresho, Westlands","KSh 150,000,000",5
,Lavington,"KSh 60,000,000",5
,"Off waiyaki way, Mountain view, Mountain View, Westlands","KSh 40,000,000",4
,"Loresho, Westlands","KSh 105,000,000",5
,"Rhapta Road, Westlands","KSh 38,000,000",4
,Ngumo Estate,"KSh 19,500,000",3
,"Off James Gichuru Road, Lavington","KSh 87,000,000",7
,"Karen bongani road, Karen","KSh 110,000,000",5
,"Old Muthaiga, Muthaiga","KSh 220,000,000",5
,"RIDGEWAYS, Ridgeways","KSh 85,000,000",5
,"Mwihoko, Kahawa Sukari, Roysambu","KSh 15,000,000",4
,Karen,"KSh 150,000,000",5
,"Runda Evergreen, Runda, Westlands","KSh 120,000,000",7
,"Nandi road, Karen","KSh 199,000,000",5
,Karen,"KSh 77,000,000",5
,Kileleshwa,"KSh 37,000,000",4
,"Lavington, Maziwa","KSh 26,500,000",4
,"Hillcrest road, Karen","KSh 50,000,000",4
,"Ngong, Ngong Road","KSh 21,000,000",5
,Kiambu Road,"KSh 28,500,000",4
,"Westlands, Westlands Area","KSh 65,000,000",5
,"Karura, Westlands","KSh 30,200,000",4
,Lavington,"KSh 121,000,000",6
,Kileleshwa,"KSh 68,000,000",4
,"Githeri close off Kapiti Rd, Githeri Rise Estate, South B","KSh 17,000,000",4
,South B,"KSh 28,500,000",4
,"Brookside, Westlands","KSh 45,000,000",5
,Lavington,"KSh 65,000,000",5
,"Duom Palm Street, Runda, Westlands","KSh 100,000,000",5
,"runda, Runda, Westlands","KSh 98,000,000",5
,"O, Karen","KSh 190,000,000",6
,"Greenspan Estate, Donholm","KSh 16,000,000",3
,"Bomas of kenya, Karen","KSh 135,000,000",5
,"01, karen, Karen","KSh 70,000,000",5
,Langata,"KSh 25,000,000",5
